id	year	author	title	tags	link
000000874	1676	Remaʿ.	A Warning to the inhabitants of England, and London in particular ... By M. A. [i.e. Mary Adams.]
002644642	1680	NEWMARKET	Muse of Newmarket: or, mirth and drollery. Being three farces ... viz. The Merry Milkmaid of Islington, or, the rambling gallants defeated. Love lost in the Dark, or, the Drunken Couple. The Politick Whore, or, the Conceited Cuckhold. [Each in three acts and in prose.]
002644654	1649	NEWMARKET FAIR	[A Tragi-Comedy [in one act and in prose], called New-Market Fayre, or a Parliament out-cry of state-commodities, set to sale. (The second part of the Tragi-Comedy, called New-Market-Fayre [in five acts and in prose]. Or Mrs Parliament's new figaryes. Written by the Man in the Moon.)]
002685918	1678	NYMPH	Constant Nymph: or, the Rambling Shepheard. A pastoral [in five acts and in verse]. Written by a Person of Quality
002702850	1696	OLDMIXON, John.	Poems on several occasions, written in imitation of the manner of Anacreon, with other poems, letters and translations
002731593	1675	OTWAY, Thomas.	Alcibiades. A tragedy [in five acts and in verse]
002731594	1687	OTWAY, Thomas.	[Alcibiades. A tragedy [in five acts and in verse].]
002731601	1686	OTWAY, Thomas.	Don Carlos Prince of Spain ... The third edition corrected
002731602	1695	OTWAY, Thomas.	Don Carlos, Prince of Spain, a tragedy [in five acts and in verse]. The fourth edition corrected
002731608	1678	OTWAY, Thomas.	Friendship in Fashion. A comedy [in five acts and in prose]
002731613	1692	Otway, Thomas	History and Fall of Caius Marius. A tragedy [in five acts and in verse]
002731614	1696	OTWAY, Thomas.	[The History and Fall of Caius Marius. A tragedy [in five acts and in verse].]
002731668	1682	Otway, Thomas	Venice Preserv'd, or, the Plot discover'd. A tragedy, etc. [in five acts and in verse.] MS. note
002731669	1696	OTWAY, Thomas.	[Venice Preserv'd, or, the Plot discover'd. A tragedy, etc. [in five acts and in verse.] MS. note.]
002739814	1663	Christ Church (University of Oxford)	Speeches spoken to the King and Queen, Duke and Duchesse of York, in Christ-Church Hall, Oxford. Sept. 29, 1663
002740463	1693	D'ANVERS, Alicia.	Oxford-Act: a poem. [By Alicia D'Anvers.]
002742403	1684	P., H.	A Satyr against Common-wealths. [By H. P.]
002742599	1661	P., J.	Ῥαψῳδιων εὐταξια, or select poems: being a compendious and methodical remonstrance of such passages in England as have been most remarkable as well before as since his Majesties ... restauration. By J. P., Cantabr
002743394	1678	P., T.	French Conjuror. A comedy [in five acts and in prose] ... Written by T[homas] P[orter], Gent
002791817	1630	PATHOMACHIA	Pathomachia: or, the Battell of Affections. Shadowed by a faigned Siedge of the Citie Pathopolis. [An allegorical play in five acts and in prose.] Written some yeeres since, and now first published by a Friend of the deceased Author
002798407	1696	NORTON, Richard	Pausanias the Betrayer of his Country. A tragedy [in five acts and in verse]. ... Written by a Person of Quality [R. Norton. Edited by T. Southern]
002802722	1593	PEACHAM, Henry	[The garden of eloquence, etc.]
002802754	1664	PEACHAM, Henry	[The Worth of a Peny: or a caution to keep money. With the causes of the scarcity and misery of the want hereof in these hard and mercilesse times, etc.]
002806976	1660	PECKE, Thomas.	To the most mighty Monarch Charles II. Heroick poem, in honour of his Majesties establishment in the throne of his ancestours
002896070	1698	PHAETON	Phaeton, or the Fatal Divorce, a tragedy [in five acts and in verse, by C. Gildon] ... With some reflections on a book [by Jeremy Collier] call'd, A short View of the Immorality ... of the English Stage
002896077	1686	PHAETON	Unfortunate Phaeton, or the Fall of Ambition, an heroick poem. Written by a Person of Quality
002898188	1672	PHILALETHES, Theophilos	Great Britains Glory; or, A brief description of the present state ... of the Royal Exchange. With some remarkable passages relating to the present engagement [i.e. the Dutch war] ... By Theophilus Philalethes. [In verse.]
002901305	1669	PHILIPS, Katharine	[Poems ..., to which is added ... Corneille's Pompey and Horace, tragedies. With several other translations out of French.]
002905012	1682	PHILOPATRIS	A Satyrick Poem against those mercenary wretches ... the Authors of Heraclitus and Observator [i.e. T. Flatman and Sir R. L'Estrange] ... By Philopatris
002905058	1683	PHILOPOLITES	Themista and Eupherbus, in a familiar dialogue [in verse] ... discovering, and passionately bemoning, ... the Exorbitances of the World in the Administration of Justice ... By Philopolites
002906296	1630	PHOENIX	[The Phoenix, etc. [A dramatic piece, in verse and prose. By T. Middleton.]]
002919631	1679	OLDHAM, John.	A Pindarique Ode describing the Excellency of True Virtue, with reflexions on the “Satyr against Virtue.” [By John Oldham.]
002925268	1676	Piso, Gaius Calpurnius	Piso's Conspiracy, a tragedy [in five acts and in verse, altered from Nathaniel Lee's tragedy of Nero, published anonymously in 1624]
002938347	1510	REGIUS, Raphael.	Piutarchi Chaeronensis Regum  Imperatorum Apophthegmata (Laconica Apophthegmata) Raphaele Regio interprete. MS. notes
002941529	1697	POEMS	Miscellany Poems
002942150	1694	POET	Poet Buffoon'd: or a vindication of the unfortunate ladies from the sawcy reflections in a late doggrel satyr against the famous Lottery in Freemans-Yard, etc
002952721	1667	POMEROY, John	Until the End: a story of real life
002953225	1664	POMPEIUS MAGNUS, Cneius.	Pompey the Great, a tragedy. Translated out of French [P. Corneille's “Mort de Pompée”], by certain persons of honour [Edmund Waller, C. Sackville, Sir C. Sedley and S. Godolphin. In five acts and in verse]
002958129	1697	POPE, Walter.	[Dr. Pope's Wish. The only correct ... copy, etc.]
002962895	1664	PORTER, Thomas	Carnival: a comedy [in five acts, in verse and prose]
002962896	1663	PORTER, Thomas	Villain, a tragedy [in five acts and in verse], etc
002962897	1670	PORTER, Thomas	[The Villain, a tragedy [in five acts and in verse], etc.]
002962898	1694	PORTER, Thomas	[The Villain, a tragedy [in five acts and in verse], etc.]
002968126	1682	POTAPSKI	Scandalum Magnatum: or, Potapski's Case. A satyr against Polish Oppression. [In verse. A satire on A. A. Cooper, Earl of Shaftesbury, occasioned by his action of “Scandalum Magnatum” against Cradock and Grahame.]
002973290	1691	POWELL, George	Alphonso, King of Naples, a tragedy [in five acts and in verse]
002973292	1696	POWELL, George	[The Treacherous Brothers. A tragedy [in five acts, and in verse], etc.]
002991063	1690	PRINCE	Abdicated Prince: or, the adventures of four years. A tragi-comedy [in five acts, in verse and prose], as it was lately acted at the Court at Alba Regalis, by several persons of great quality, etc. [A satire on James II.]
002998521	1688	PROTESTANT MARTYRS	Protestant Martyrs: or, the Bloody Assizes, giving an account ... of all those eminent Protestants that suffered in the West of England, by the sentence of Judge Jefferies ... containing also the life and death of James Duke of Monmouth, etc
003014569	1647	QUARLES, Francis.	[Argalus and Parthenia ... Newly perused perfected and written by Fra: Quarles.]
003014602	1641	QUARLES, Francis.	[Divine fancies: digested into epigrammes, meditations, and observations.]
003014682	1646	QUARLES, Francis.	Shepheards Oracles: delivered in certain Eglogues
003014686	1649	QUARLES, Francis.	Virgin Widow. A Comedie [in five acts, in prose and verse]
003018918	1675	QUINAULT, Philippe.	[Agrippa, roy d'Albe.] Agrippa, King of Alba: or, the False Tiberinus, etc. [The translator's dedicatory epistle signed: J. D., i.e. John Dancer.]
003022443	1638	R., T.	Muses Looking-Glasse. [A comedy in five acts and in verse.] By T[homas] R[andolph]
003022543	1633	R., W.	A Match at Mid-night. A pleasant comœdie: as it hath been acted by the Childrene of the Revels. Written by W. R. [i.e. William Rowley.]
003022545	1638	R., W.	A Merrie and Pleasant Comedy ... called A Shoomaker a Gentleman. [In five acts, in prose and verse.] Written by W[illiam] R[owley]
003022568	1682	R., W.	Christmas Ordinary, a Private Show; wherein is expressed the Jovial Freedom of that Festival. ... By W. R., Master of Arts
003032384	1693	AMES, Richard	Rake: or, the Libertine's religion. A poem. [By Richard Ames.]
003038736	1632	RANDOLPH, Thomas	Jealous Lovers. A Comedie [in five acts and in verse], presented to their gracious Majesties at Cambridge, by the Students of Trinity College
003038737	1634	RANDOLPH, Thomas	[The Jealous Lovers. A Comedie [in five acts and in verse], presented to their gracious Majesties at Cambridge, by the Students of Trinity College.]
003040981	1692	BRADY, Nicholas	Rape; or, the Innocent Impostors. A tragedy [in five acts and in verse, by N. Brady]
003047002	1697	RAVENSCROFT, Edward	Anatomist; or, the Sham Doctor. [A comedy, in three acts and in prose.] ... With the Loves of Mars and Venus. A play [in three acts and in verse] set to music. Written by Mr. Motteux
003047009	1695	RAVENSCROFT, Edward	Canterbury Guests; or, A Bargain broken. A comedy [in five acts and in prose]
003047010	1673	RAVENSCROFT, Edward	careless lovers: a comedy [in five acts and in prose. Partly taken from Molière's “Monsieur de Pourceaugnac”]. (Epilogue by Mr. Settle.)
003047011	1672	RAVENSCROFT, Edward	citizen turn'd gentleman: a comedy, etc. [in five acts and in prose. Taken from Molière's “Le Bourgeois Gentilhomme” and “Monsieur de Pourceaugnac.”]
003047012	1675	RAVENSCROFT, Edward	[The citizen turn'd gentleman: a comedy, etc. [in five acts and in prose. Taken from Molière's “Le Bourgeois Gentilhomme” and “Monsieur de Pourceaugnac.”]]
003047015	1678	RAVENSCROFT, Edward	English Lawyer; a comedy, etc. [Freely adapted from Codrington's translation of George Ruggle's “Ignoramus.”]
003047016	1698	RAVENSCROFT, Edward	Italian Husband. A tragedy, etc. [in three acts and in verse]. (Epilogue writ by J. Haynes.)
003047017	1677	RAVENSCROFT, Edward	King Edgar and Alfreda. A tragi-comedy, etc. [in five acts and in verse.]
003047019	1688	RAVENSCROFT, Edward	[The London Cuckolds. A comedy [in five acts and in prose].]
003047991	1640	RAWLINS, Thomas	Rebellion: a tragedy, etc. [in five acts and in verse.]
003053716	1671	REBEL	Religious-Rebell, or the Pilgrim-Prince. A tragædy [in five acts and in verse]
003061122	1673	ARROWSMITH, Joseph.	Reformation. A comedy. [In five acts and in prose. By - Arrowsmith.]
003070879	1694	RELIGION	Religion the only Happiness. A poem. In a letter to a friend
003080072	1671	REVET, Edward.	Town Shifts; or, the Suburb-Justice. A comedy [in five acts and in prose]
003083825	1661	REYNOLDS, Lancelot.	A Panegyrick on ... Katherine, Queen of England, etc. or her Highness Cordiall Welcome into England
003085786	1663	RHODES	Siege of Rhodes. The second part. [In five acts and in verse. By Sir W. Davenant.]
003091256	1667	CARYL, John.	English Princess, or, the Death of Richard the III. A tragedy [in five acts and in verse. By J. Caryl]
003091257	1674	Richard	[The English Princess, or, the Death of Richard the III. A tragedy [in five acts and in verse. By J. Caryl].]
003099771	1655	RIDER, William	Twins: a tragi-comedy [in five acts and in verse]
003111782	1668	RIVALS	Rivals. A comedy, etc. [By Sir William Davenant. Based on the “Two Noble Kinsmen” by John Fletcher and William Shakespeare.]
003112351	1692	Shirley, James	Traytor, a tragedy [in five acts and in verse] with alterations, amendments and additions. Written by Mr. Rivers
003113028	1610	RIVIÈRE, Paul de	Catalogue des anciens roys et princes de Gaule, dite depuis France. Extraict dans les œuvres &amp; histoires Gauloises du sieur P. de Rivière, non encores mises en lumière ... avec deux tables, etc
003121892	1681	ROBIN, Poor	Poor Robin's Dream, etc. Few MS. notes. [Another issue.]
003142233	1697	ROMAN BRIDE	Roman Bride's Revenge; a tragedy [in five acts and in verse, by C. Gildon]
003178337	1633	ROWLEY, William	A tragedy called All's Lost by Lust. [In five acts, in verse and prose.]
003194022	1634	RUSSELL, John	Two Famous Pitcht Battels of Lypsich and Lutzen wherein ... Gustavus the Great lived, and died a conquerour: with an elegie upon his untimely death
003210974	1678	RYMER, Thomas	Edgar, or the English Monarch; an heroick tragedy [in five acts and in verse]
003210974	1678	RYMER, Thomas	Edgar, or the English Monarch; an heroick tragedy [in five acts and in verse]
003210983	1689	RYMER, Thomas	A Poem on the arrival of Queen Mary, Feb. the 12th, 1689
003211830	1661	STEVENSON, William	[A Ryght Pithy, Pleasaunt anp [sic] merie Comedie: Intytuled Gammer gurtons Nedle: Played on Stage, not longe ago in Christes Colledge in Cambridge. Made by Mr. S. Mr of Art [i.e. William Stevenson.] B.L.]
003212310	1607	S., E.	Cupid's Whirligig. [A comedy. The dedication is signed E. S., i.e. Edward Sharpham?]
003212313	1630	S., E.	[Cupid's Whirligig. [A comedy. The dedication is signed E. S., i.e. Edward Sharpham?]]
003214167	1663	S., T.	Love à la Mode. A comedy. Written by a Person of Honour. [The preface is signed T. S.]
003218157	1690	SACKVILLE, Charles	[An Epistle [in verse] to the Right Honourable Charles Earl of Dorset and Middlesex [on William the Third's victories in Ireland. By Charles Montagu, Earl of Halifax].]
003219045	1660	SADLER, Anthony	Subjects Joy for the King's Restoration, cheerfully made known in a sacred masque [in verse]. By the author of Inquisitio Anglicana
003234455	1692	SALTER, James	Triumphs of the Holy Jesus: or, A Divine Poem of the Birth, Life, Death, and Resurrection, of our Saviour
003255413	1682	SHADWELL, Thomas	[Satyr to his Muse. By the author of Absalom &amp; Achitophel. [A skit on Dryden. By Thomas Shadwell?]]
003256748	1681	SAUNDERS, Charles	Tamerlane the Great, a tragedy [in five acts and in verse]
003316779	1696	SCOTT, Thomas	Mock-Marriage. A comedy
003316780	1697	SCOTT, Thomas	Unhappy Kindness: or, a Fruitless revenge. A tragedy ... [In verse and prose.] Written [sic] by Mr. Scot [or rather, adapted by him from “A Wife for a Month” by Francis Beaumont and John Fletcher]
003326058	1677	SEDLEY, Charles	Antony and Cleopatra; a tragedy [in five acts and in verse], etc
003326060	1687	SEDLEY, Charles	Bellamira, or the Mistress, a comedy: as it is acted by Their Majesties Servants
003326064	1668	SEDLEY, Charles	Mulberry Garden, a comedy [in five acts and in verse], etc
003326065	1675	SEDLEY, Charles	[The Mulberry Garden, a comedy [in five acts and in verse], etc.]
003336721	1686	Seneca, Lucius Annaeus	L. Annæus Seneca's Troas. A tragedy. Translated from the Latine by J. T[albot]
003344277	1694	SETTLE, Elkanah.	Ambitious Slave: or, A Generous Revenge, a tragedy [in five acts and in verse]
003344284	1672	SETTLE, Elkanah.	[Cambyses, King of Persia, a tragedy [in five acts and in verse], etc.]
003344285	1675	SETTLE, Elkanah.	[Cambyses, King of Persia, a tragedy [in five acts and in verse], etc.]
003344295	1676	SETTLE, Elkanah.	Conquest of China, by the Tartars. A tragedy [in five acts and in verse]
003344296	1691	SETTLE, Elkanah.	Distress'd Innocence: or, the Princess of Persia. A tragedy [in five acts and in verse]
003344298	1687	SETTLE, Elkanah.	[The Empress of Morocco. A tragedy [in five acts and in verse]. With sculptures, etc. (The second Prologue at Court ... By the Lord Rochester.)]
003344308	1680	SETTLE, Elkanah.	Female Prelate: being the history of the life and death of Pope Joan. A tragedy [in five acts and in verse]
003344312	1694	SETTLE, Elkanah.	[The Heir of Morocco, with the death of Gayland. [A tragedy, in five acts, in verse, etc.]]
003344326	1675	SETTLE, Elkanah.	Love and Revenge: a tragedy [in five acts and in verse]
003344337	1694	SETTLE, Elkanah.	Pastor Fido; or, The Faithful Shepherd. A pastoral [in five acts, in verse. Altered from Sir R. Fanshaw's translation of Guarini]. By E. Settle
003349172	1689	SHADWELL, Thomas	Bury-Fair. A comedy, etc. [in five acts and in prose.]
003349174	1673	SHADWELL, Thomas	Epsom-Wells. A comedy, etc. [in five acts and in prose.]
003349181	1671	SHADWELL, Thomas	Humorists, a comedy [in five acts and in prose], etc
003349182	1691	SHADWELL, Thomas	[The Humorists, a comedy [in five acts and in prose], etc.]
003349185	1691	SHADWELL, Thomas	Lancashire Witches, and Tegue o Divelly the Irish Priest. A comedy. Part the first [in five acts and in prose]. The Amorous Bigot, with the second part of Tegue o Divelly, a comedy
003349188	1676	SHADWELL, Thomas	Libertine: a tragedy, etc. [in five acts, in verse and in prose.]
003349193	1672	SHADWELL, Thomas	Miser: a comedy [in five acts and in prose: founded on Molière's “L'Avare”] ... Written by T. Shadwell
003349195	1691	SHADWELL, Thomas	[The Miser: a comedy [in five acts and in prose: founded on Molière's “L'Avare”] ... Written by T. Shadwell.]
003349199	1675	SHADWELL, Thomas	Psyche: a tragedy, etc. [in five acts and in verse, partly borrowed from the French of Molière.]
003349200	1690	SHADWELL, Thomas	[Psyche: a tragedy, etc. [in five acts and in verse, partly borrowed from the French of Molière.]]
003349201	1691	SHADWELL, Thomas	Scowrers. A comedy, etc. [in five acts, in prose and verse.]
003349204	1688	SHADWELL, Thomas	Squire of Alsatia. A comedy, etc. [In five acts and in prose. With songs.]
003349205	1688	SHADWELL, Thomas	[The Squire of Alsatia. A comedy, etc. [In five acts and in prose. With songs.]]
003349211	1668	SHADWELL, Thomas	Sullen Lovers, or the Impertinents, a comedy [in five acts and in prose]
003349213	1693	SHADWELL, Thomas	[The Sullen Lovers, etc.]
003349214	1679	SHADWELL, Thomas	A True Widow. A comedy, etc. [In five acts and in prose.] (Prologue by Mr. Dryden.)
003349216	1676	SHADWELL, Thomas	Virtuoso. A comedy, etc. [In five acts and in prose.]
003349218	1691	SHADWELL, Thomas	[The Virtuoso. A comedy, etc. [In five acts and in prose.]]
003349221	1693	SHADWELL, Thomas	Volunteers, or the Stock-Jobbers. A comedy, etc. [in five acts, and in prose. With a dedicatory epistle by Anne Shadwell and prologue by T. D'Urfey.]
003349223	1680	SHADWELL, Thomas	Woman-Captain: a comedy, etc. [in five acts, and in prose, with songs.]
003351452	1695	Shakespeare, William	[The Tragedy of Hamlet. As it is now acted at his Highness the Duke of York's Theatre.]
003352477	1681	Shakespeare, William	History of King Richard the Second. Acted at the Theatre Royal under the name of the Sicilian Usurper. With a prefatory epistle in vindication of the author, occasion'd by the prohibition of this play on the stage, by N. Tate
003352477	1681	Shakespeare, William	History of King Richard the Second. Acted at the Theatre Royal under the name of the Sicilian Usurper. With a prefatory epistle in vindication of the author, occasion'd by the prohibition of this play on the stage, by N. Tate
003352678	1674	Shakespeare, William	Macbeth; a tragedy. With all the alterations, amendments, additions, and new songs [by Sir William Davenant]. As it is now acted at the Dukes Theatre. [Anonymous.]
003354144	1690	Shakespeare, William	Tempest, or the Enchanted Island. A comedy, etc. [Altered by Dryden and Sir W. Davenant. The version arranged for an opera by T. Shadwell.]
003354250	1687	Shakespeare, William	Titus Andronicus; or the Rape of Lavinia; a tragedy, alter'd from Mr. Shakespear's works, by Mr. Edw. Ravenscroft
003358309	1640	SHARPE, Lewis.	Noble Stranger. [A comedy, in five acts, in prose and verse.]
003358542	1631	SHARPHAM, Edward.	[The Fleire [a comedy in five acts, in prose and verse]. As it hath beene often played in the Blacke-Fryers by the Children of the Revells.]
003369453	1688	SHIELDS, Alexander.	An elegie, upon the death, of that famous and faithfull minister and martyr, Mr. James Renwick. Composed immediatly after his execution at Edinburgh, 17. Feb. 1688. [By Alexander Shields.]
003370470	1678	SHIPMAN, Thomas.	Henry the Third of France stabb'd by a Fryer; with the Fall of the Guise. A tragedy [in five acts and in verse]
003370994	1638	SHIRLEY, Henry	Martyr'd Souldier. [A tragedy in five acts, in verse; edited by J. K.]
003371001	1640	Shirley, James	A Pastorall called The Arcadia. Acted by her Majesties Servants at the Phœnix in Drury Lane
003371003	1633	Shirley, James	Bird in a cage. A comedie, etc
003371012	1640	Shirley, James	Constant Maid. A comedy [in five acts, in verse]
003371015	1638	Shirley, James	Dukes Mistris. [A tragedy, in five acts, in verse.]
003371019	1637	Shirley, James	Example. [A comedy, in five acts, in verse.]
003371020	1637	Shirley, James	Gamester. [A comedy in five acts and in verse.] As it was presented by her Majesties Servants at the private House in Drury-Lane
003371034	1630	Shirley, James	Gratefull Servant. A comedie, etc. [in five acts, in prose and verse.]
003371035	1637	Shirley, James	Gratefull Servant, etc
003371037	1637	Shirley, James	Hide Parke, a comedie [in five acts, in verse]
003371040	1640	Shirley, James	Humorous Courtier. A comedy, as it hath been presented with good applause at the private house in Drury-Lane
003371042	1637	Shirley, James	Lady of Pleasure. A comedie, as it was acted by her Majesties Servants, at the private House in Drury Lane
003371046	1639	Shirley, James	Maides Revenge. A tragedy. As it hath been acted with good applause at the private house in Drury Lane, by her Majesties Servants
003371050	1640	Shirley, James	Opportunitie. A comedy, as it was presented by her Majesties Servants, at the private House in Drury Lane
003371054	1655	Shirley, James	Polititian, a tragedy [in five acts, in verse]
003371055	1638	Shirley, James	Royall Master. [A comedy in five acts, in verse.]
003371060	1640	Shirley, James	St Patrick for Ireland. The first Part
003371064	1631	Shirley, James	Schoole of Complement. [A comedy in five acts, in prose and verse.]
003371065	1637	Shirley, James	[The Schoole of Complement. [A comedy in five acts, in prose and verse.]]
003371066	1667	Shirley, James	[The Schoole of Complement. [A comedy in five acts, in prose and verse.]]
003371069	1635	Shirley, James	Traytor: a tragedie [in five acts, in verse]
003371075	1633	Shirley, James	[The Triumph of Peace. A masque, presented by the foure Honourable Houses, or Innes of Court. Before the King and Queenes Majesties ... February the third, 1633. Invented and written, by James Shirley, of Grayes Inne, Gent.]
003371081	1633	Shirley, James	Wedding. [A comedy in five acts, in prose and verse.]
003371084	1637	Shirley, James	Young Admirall. As it was presented by her Majesties servants, at the private house in Drury Lane
003372149	1610	SHOEMAKER	Shomakers Holy-day, etc. [By Thomas Dekker.] B.L
003376956	1631	SICELIDES	Sicelides, a piscatory, as it hath beene acted in Kings Colledge, in Cambridge. [In five acts, and in prose and verse. By Phineas Fletcher.]
003431886	1687	GOULD, Robert.	To the Society of the Beaux Esprits. A pindarick poem. By the author of the late Satyr against Woman [i.e. Robert Gould]
003442119	1639	ZOUCH, Richard.	Sophister. A comedy [in five acts, prose and verse. By R. Zouch?]
003448503	1694	SOUTHERN, Thomas.	Fatal Marriage, or the Innocent Adultery; a play [in five acts and in prose and verse], etc
003448526	1682	SOUTHERN, Thomas.	Loyal Brother; or, the Persian Prince. A tragedy [in five acts and in verse. Prologue and epilogue by John Dryden]
003448531	1696	SOUTHERN, Thomas.	Oroonoko: a tragedy [in five acts, prose and verse], etc
003448566	1691	SOUTHERN, Thomas.	Sir Anthony Love; or, the Rambling Lady. A comedy [in five acts, prose and verse], etc
003448571	1692	SOUTHERN, Thomas.	Wives Excuse; or, Cuckolds make themselves. A comedy [in five acts, in prose and in verse. With verses by John Dryden, addressed to the author on his comedy, etc.]
003460087	1653	SPENCER, Canning	Early and late Recollections. [In prose and verse.]
003480289	1669	STAPLETON, Robert	Tragedie of Hero and Leander [in five acts and in verse]
003493777	1664	STAPLETON, Robert	Step-Mother, a tragi-comedy
003527618	1655	STRODE, William	Floating Island: a tragi-comedy [in five acts and in verse]
003528615	1674	STRONG, James	[Joanereidos: or feminine valour eminently discovered in Westerne women, etc. [In verse.]]
003558565	1658	SWINHOE, Gilbert.	tragedy of the unhappy fair Irene. [In prose and verse.]
003561178	1668	SYDSERF, Thomas	Tarugo's Wiles: or, The Coffee-house. A comedy [in five acts and in prose]
003562142	1688	AMES, Richard	Sylvia's Revenge, or; a Satyr against man [by Richard Ames]; in answer to the Satyr against Woman [by Robert Gould]
003569512	1672	T., R.	Soul's Warfare, comically digested into scenes, acted between the Soul and hr enemies, etc. [In three acts and in verse. By R. T., i.e. Richard Tuke.]
003582834	1628	Tasso, Torquato	Torquato Tasso's Aminta Englisht [by Henry Reynolds]. To this is added Ariadne's Complaint in imitation of Anguillara; written by the translator of Tasso's Aminta
003583676	1678	TATE, Nahum.	Brutus of Alba: or, the Enchanted Lovers; a tragedy [in five acts and in verse]
003583681	1685	TATE, Nahum.	Cuckolds-Haven: or, an Alderman no Conjurer; a farce [in three acts and in prose]
003583688	1685	TATE, Nahum.	A Duke and no Duke. A farce. As it is acted by their Majesties Servants. Written by N. Tate [or rather altered by him from “Trappolin creduto principe” by Sir Aston Cokayne]. With the several songs set to music, etc
003583689	1693	TATE, Nahum.	A Duke and no Duke. As it is acted by their Majesties Servants. To which is now added, A preface concerning farce: with an account of the personæ and larvæ, &amp;c. of the ancient theatre. By N. Tate [or rather, altered by him from “Trappolin creduto principe” by Sir Aston Cokayne]
003583696	1682	TATE, Nahum.	Ingratitude of a Common-Wealth: or the Fall of Caius Martius Coriolanus. [A tragedy in five acts and in verse, altered from Shakespeare.]
003583699	1680	TATE, Nahum.	Loyal General, a tragedy [in five acts and in verse]
003583986	1651	TATHAM, John	Distracted State; a tragedy [in five acts and in verse]. Written in ... 1641
003583998	1660	TATHAM, John	Rump: or the Mirrour of the late times: a new comedy [in five acts and in prose]
003583999	1661	TATHAM, John	with additions
003584000	1652	TATHAM, John	Scots Figgaries: or, a Knot of Knaves. A comedy [in five acts, in prose and verse]
003600539	1641	Terence.	[Quarta editio multo emendatior, etc.]
003619088	1661	THOMAS, John	A Prophetical Love-Song by one of the Sons of Zion ... in his travel towards the Holy Land through the Wilderness, etc
003640503	1697	TIMOLEON	Timoleon; or, The Revolution. A tragi-comedy
003658271	1681	TORY, Timothy	Sejanus: or the Popular Favourite, now in his solitude and sufferings. Written for the consolation of E. S. [i.e. A. A. Cooper, 1st Earl of Shaftesbury] the famous Bromigen Protestant in bonds ... for the Good Old Cause ... By Timothy Tory. [In verse.]
003665410	1678	Johns, William	Traitor to Himself, or, Man's Heart his greatest enemy
003677276	1697	TRIUMPHS	Triumphs of Virtue. A tragi-comedy [in five acts, and in verse]
003678244	1633	TROJANS	Fuimus Troes. Æneid. 2. The true Troianes, being a story of the Britaines valour at the Romanes first invasion: publikely represented by the Gentlemen Students of Magdalen Colledge in Oxford. [A play. By Jasper Fisher.]
003680104	1698	Trotter, Catharine	Fatal Friendship. A tragedy [in five acts and in verse]
003687881	1664	TUKE, Samuel	[The Adventures of Five Hours. A tragi-comedy [in verse. Adapted from “Los Empeños de Seis Horas,” formerly attributed to Calderon, and now to Antonio Coello].]
003688589	1678	RAWLINS, Thomas	Tunbridge-Wells: or a Days Courtship. A comedy. ... Written by a Person of Quality [T. Rawlins]
003695762	1696	TUTCHIN, John.	A Pindarick Ode in the praise of Folly and Knavery
003705288	1668	ULSTER	famous Battel of the Catts in the Province of Ulster, etc. [A satire, in verse; by Sir J. Denham.]
003741628	1663	USURPER	Unfortunate Usurper, a tragedy [in five acts and in verse]
003796217	1692	Buckingham, George Villiers	[The Chances, a comedy [by Beaumont and Fletcher; in prose and verse] ... corrected and altered by a Person of Honour [i.e. George Villiers, 2nd Duke of Buckingham.]]
003796238	1687	Buckingham, George Villiers	[The Rehearsal. Third edition, with ... additions by the Author [i.e. George Villiers].]
003798233	1616	VINCENT, Margaret.	A pittilesse Mother. That most unnaturally at one time murthe[red] two of her owne Children at Acton ... uppon holy thursday last 1616, the ninth of May. Beeing a gentlewoman named M. Vincent ... With her Examination, Confession and true discovery of all t[he] proceedings ... Whereunto is added Andersons Repentance w[ho] was executed ... the 18 of May 16[16]. [In verse.] B.L
003803903	1696	HOPKINS, Charles	Neglected Virtue: or, the Unhappy Conqueror, a Play, acted at the Theatre-Royal, by His Majesty's Servants. [By Charles Hopkins. The preface signed by Hildebrand Horden.]
003823253	1637	W., J.	Valiant Scot; by J. W., Gent. [A tragedy, in five acts and in prose and verse, with a dedication by W. Bowyer.]
003823383	1658	W., L.	Orgula: or the fatal error. A tragedy [in five acts and in verse] composed by L. W. [i.e. Leonard Willan?] Whereunto, is annexed a preface, discovering the true nature of poesie, with the proper use and intention of such publique divertisments
003823617	1592	W., R.	A Right excellent ... Comedy, called The Three Ladies of London ... Written by R. W. [i.e. Robert Wilson], etc. B.L
003823623	1651	W., R.	Τεχνηπολεμογαμια· or the marriage of armes and arts. July 12. 1651. Being an Accompt of the Art at Oxon, to a friend. By R. W. [i.e. Robert Whitehead.]
003823628	1678	W., R.	Oliver Cromwells Ghost: or Old Noll newly revived. [Signed: R. W. D.D., i.e. Robert Wild.]
003840545	1688	WALLER, Edmund	Poems to the memory of that imcomparable poet Edmund Waller Esquire ... By several hands
003848067	1682	WAR HORNS	Horns make Room for the Bucks with green bowes. [A satirical Poem “on the splendid entertainment of the London-Prentices and Lords at Merchant-Taylors-Hall.”]
003873803	1659	WEBSTER, John	[Appius and Virginia; a tragedy [in five acts and in verse].]
003873805	1623	WEBSTER, John	Devils Law-Case; or, When Women go to Law, the Devil is full of Businesse. A new Tragecomœdy [in five acts and in verse]
